Date of Purchase,Purchaser Name,Denomination
12-Apr-19,A B C INDIA LIMITED,"1,00,000"
12-Apr-19,A B C INDIA LIMITED,"1,00,000"
12-Apr-19,A B C INDIA LIMITED,"10,00,000"
12-Apr-19,A B C INDIA LIMITED,"10,00,000"
12-Apr-19,A B C INDIA LIMITED,"1,00,000"
12-Apr-19,A B C INDIA LIMITED,"1,00,000"
12-Apr-19,A B C INDIA LIMITED,"1,00,000"
12-Apr-19,A B C INDIA LIMITED,"10,00,000"
12-Apr-19,A B C INDIA LIMITED,"1,00,000"
12-Apr-19,A B C INDIA LIMITED,"1,00,000"
12-Apr-19,A B C INDIA LIMITED,"1,00,000"
12-Apr-19,A B C INDIA LIMITED,"1,00,000"
12-Apr-19,A B C INDIA LIMITED,"1,00,000"
12-Apr-19,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,"1,00,000"
12-Apr-19,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,"10,00,000"
12-Apr-19,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,"1,00,000"
12-Apr-19,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,"1,00,000"
12-Apr-19,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,"1,00,000"
12-Apr-19,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,"1,00,000"
12-Apr-19,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,"10,00,000"
12-Apr-19,ARIHANT ENTERPRISES,"10,00,000"
12-Apr-19,ARIHANT ENTERPRISES,"10,00,000"
12-Apr-19,ARIHANT ENTERPRISES,"10,00,000"
12-Apr-19,ARIHANT ENTERPRISES,"10,00,000"
12-Apr-19,CHOUDHARY GARMENTS,"10,00,000"
12-Apr-19,CHOUDHARY GARMENTS,"10,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,"10,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,"10,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,"10,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,"10,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,"10,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,"10,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,"10,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,"10,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,"10,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,"1,00,00,000"
12-Apr-19,ESSEL MINING AND INDS LTD,"10,00,000"
12-Apr-19,GRASIM INDUSTRIES LTD,"1,00,00,000"
12-Apr-19,GRASIM INDUSTRIES LTD,"1,00,00,000"
12-Apr-19,GRASIM INDUSTRIES LTD,"1,00,00,000"
12-Apr-19,GRASIM INDUSTRIES LTD,"1,00,00,000"
12-Apr-19,GRASIM INDUSTRIES LTD,"1,00,00,000"
12-Apr-19,GRASIM INDUSTRIES LTD,"1,00,00,000"
12-Apr-19,GRASIM INDUSTRIES LTD,"1,00,00,000"
12-Apr-19,GRASIM INDUSTRIES LTD,"1,00,00,000"
12-Apr-19,GRASIM INDUSTRIES LTD,"1,00,00,000"
12-Apr-19,GRASIM INDUSTRIES LTD,"1,00,00,000"
12-Apr-19,GRASIM INDUSTRIES LTD,"1,00,00,000"
12-Apr-19,GRASIM INDUSTRIES LTD,"1,00,00,000"
12-Apr-19,GRASIM INDUSTRIES LTD,"1,00,00,000"
12-Apr-19,GRASIM INDUSTRIES LTD,"1,00,00,000"
12-Apr-19,GRASIM INDUSTRIES LTD,"1,00,00,000"
12-Apr-19,GRASIM INDUSTRIES LTD,"1,00,00,000"
12-Apr-19,GRASIM INDUSTRIES LTD,"1,00,00,000"
12-Apr-19,GRASIM INDUSTRIES LTD,"1,00,00,000"
12-Apr-19,GRASIM INDUSTRIES LTD,"1,00,00,000"
12-Apr-19,GRASIM INDUSTRIES LTD,"1,00,00,000"
12-Apr-19,HIGHSTREET CRUISES AND ENTERTAINMENT PVT  LTD,"10,00,000"
12-Apr-19,HIGHSTREET CRUISES AND ENTERTAINMENT PVT  LTD,"10,00,000"
12-Apr-19,HIGHSTREET CRUISES AND ENTERTAINMENT PVT  LTD,"10,00,000"
12-Apr-19,INNOCENT MERCHANDISE PVT LTD,"10,00,000"
12-Apr-19,INNOCENT MERCHANDISE PVT LTD,"1,00,000"
12-Apr-19,INNOCENT MERCHANDISE PVT LTD,"1,00,000"
12-Apr-19,INNOCENT MERCHANDISE PVT LTD,"1,00,000"
12-Apr-19,INNOCENT MERCHANDISE PVT LTD,"1,00,000"
12-Apr-19,INNOCENT MERCHANDISE PVT LTD,"10,00,000"
12-Apr-19,INNOCENT MERCHANDISE PVT LTD,"1,00,000"
12-Apr-19,KAMLANG SAW & VENEER MILLS PVT LTD,"10,00,000"
12-Apr-19,KAMLANG SAW & VENEER MILLS PVT LTD,"10,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,"1,00,00,000"
12-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,"1,00,00,000"
